1,1,1,96,1,96,6.97e-65,192
2,2,1,219,1,219,7.06e-148,412
3,3,1,32,1,32,4.22e-14,59.7
4,4,1,27,1,27,8.91e-11,51.2
5,5,1,57,1,57,4.24e-33,109
6,6,1,485,1,485,0.0,933
7,7,1,90,1,90,1.59e-55,168
8,8,1,308,1,308,0.0,610
8,54,15,219,2,204,8.18e-06,49.3
9,9,1,405,1,405,0.0,810
10,10,1,101,1,101,5.54e-69,203
11,11,1,58,1,58,1.72e-36,118
12,12,1,44,1,44,3.44e-23,83.6
13,13,1,483,1,483,0.0,973
14,14,1,93,1,93,8.99e-58,174
14,43,13,89,12,88,2.05e-06,44.3
14,36,19,86,18,85,0.009,34.7
15,15,1,430,1,430,0.0,861
16,16,1,301,1,301,0.0,624
16,44,1,200,1,227,4.84e-36,135
16,26,1,289,1,305,2.31e-35,133
17,17,1,278,1,278,0.0,579
18,18,1,71,1,71,6.58e-49,150
19,19,1,78,1,78,1.85e-54,164
20,20,1,105,1,105,9.35e-73,213
20,31,1,104,1,103,1.40e-56,172
21,21,1,90,1,90,2.45e-60,180
22,22,1,79,1,79,2.58e-52,159
23,23,1,69,1,69,8.65e-39,124
24,24,1,465,1,465,0.0,920
25,25,1,105,1,105,5.37e-67,198
26,26,1,381,1,381,0.0,785
26,16,1,305,1,289,4.92e-37,138
26,44,1,307,1,343,2.54e-27,114
27,27,1,60,1,60,7.47e-38,121
28,28,1,384,1,384,0.0,788
28,30,1,384,1,375,0.0,556
28,38,77,352,64,335,2.04e-20,94
29,29,1,68,1,68,1.56e-44,139
30,30,1,375,1,375,0.0,774
30,28,1,375,1,384,0.0,556
30,38,31,343,1,335,5.40e-17,84
31,31,1,103,1,103,1.03e-72,213
31,20,1,103,1,104,1.37e-56,172
32,32,1,89,1,89,3.46e-57,172
33,33,1,111,1,111,3.10e-76,222
34,34,1,26,1,26,6.76e-11,51.2
35,35,1,411,1,411,0.0,832
36,36,1,87,1,87,3.15e-51,157
36,14,18,85,19,86,5.56e-05,40.4
37,37,1,156,1,156,6.96e-113,318
37,46,3,89,4,89,2.25e-05,44.3
38,38,1,368,1,368,0.0,754
38,28,64,335,77,352,1.96e-20,94
38,30,1,335,31,343,5.30e-17,84
39,39,1,100,1,100,1.57e-69,204
40,40,1,63,1,63,6.35e-42,132
41,41,1,45,1,45,3.33e-23,83.6
42,42,1,328,1,328,0.0,645
43,43,1,94,1,94,3.76e-58,175
43,14,12,88,13,89,2.08e-06,44.3
44,44,1,404,1,404,0.0,842
44,16,1,214,1,188,2.20e-35,134
44,26,1,343,1,307,9.68e-28,115
45,45,1,112,1,112,2.18e-76,223
46,46,1,150,1,150,3.25e-103,293
46,37,4,138,3,140,5.96e-08,51.2
47,47,1,446,1,446,0.0,896
48,48,1,97,1,97,2.84e-63,188
49,49,1,30,1,30,2.36e-14,60.5
50,50,1,34,1,34,1.84e-17,68.6
51,51,1,46,1,46,7.38e-26,90.5
52,52,1,506,1,506,0.0,1019
53,53,1,142,1,142,2.73e-93,268
54,54,1,318,1,318,0.0,647
54,8,2,204,15,219,7.93e-06,49.3
55,55,1,393,1,393,0.0,822
55,63,15,392,1,378,0.0,717
55,71,15,392,1,378,0.0,704
56,56,1,42,1,42,3.69e-25,88.2
56,64,2,42,56,96,1.14e-18,73.6
56,72,4,42,35,73,9.82e-18,70.5
57,57,1,373,1,373,0.0,734
57,73,4,373,23,392,0.0,531
57,65,268,372,239,346,2.85e-16,81.6
58,58,1,43,1,43,1.06e-22,82.4
58,74,1,43,1,43,1.06e-22,82.4
58,66,1,43,1,43,3.72e-17,68.2
59,59,1,55,1,55,6.55e-31,103
59,67,1,55,1,55,4.10e-30,101
59,75,1,55,1,55,4.10e-30,101
60,60,1,204,1,204,2.03e-152,422
60,76,1,204,1,204,5.02e-134,376
60,68,1,204,1,204,5.62e-131,368
61,61,1,37,1,37,3.83e-19,72.8
61,69,1,37,1,37,1.14e-17,68.9
61,77,1,37,1,37,3.00e-17,68.2
62,62,1,207,1,207,8.30e-157,434
62,70,1,207,1,207,3.04e-154,427
62,78,1,207,1,207,2.51e-151,420
63,63,1,378,1,378,0.0,788
63,55,1,378,15,392,0.0,717
63,71,1,378,1,378,0.0,720
64,64,1,96,1,96,1.40e-66,196
64,72,47,96,24,73,5.05e-20,78.6
64,56,56,96,2,42,2.60e-18,73.6
65,65,1,346,1,346,0.0,694
65,57,239,346,268,372,4.40e-16,80.9
65,73,239,346,287,391,4.50e-12,68.9
66,66,1,43,1,43,1.74e-23,84.3
66,58,1,43,1,43,3.72e-17,68.2
66,74,1,43,1,43,3.72e-17,68.2
67,67,1,55,1,55,1.21e-30,103
67,75,1,55,1,55,1.21e-30,103
67,59,1,55,1,55,4.10e-30,101
68,68,1,204,1,204,1.08e-151,421
68,76,1,204,1,204,9.35e-138,385
68,60,1,204,1,204,5.16e-117,333
69,69,1,37,1,37,2.66e-19,73.2
69,61,1,37,1,37,1.14e-17,68.9
69,77,1,37,1,37,1.79e-17,68.6
70,70,1,207,1,207,2.02e-156,432
70,62,1,207,1,207,3.04e-154,427
70,78,1,207,1,207,2.43e-151,420
71,71,1,378,1,378,0.0,788
71,55,1,378,15,392,0.0,704
71,63,1,378,1,378,0.0,720
72,72,1,73,1,73,2.30e-48,149
72,64,24,73,47,96,3.84e-20,78.6
72,56,35,73,4,42,1.71e-17,70.5
73,73,1,392,1,392,0.0,776
73,57,23,392,4,373,0.0,531
73,65,287,391,239,346,1.97e-17,85.1
74,74,1,43,1,43,1.06e-22,82.4
74,58,1,43,1,43,1.06e-22,82.4
74,66,1,43,1,43,3.72e-17,68.2
75,75,1,55,1,55,1.21e-30,103
75,67,1,55,1,55,1.21e-30,103
75,59,1,55,1,55,4.10e-30,101
76,76,1,204,1,204,1.19e-151,420
76,68,1,204,1,204,9.35e-138,385
76,60,1,204,1,204,5.58e-121,343
77,77,1,37,1,37,2.41e-19,73.2
77,69,1,37,1,37,1.79e-17,68.6
77,61,1,37,1,37,3.00e-17,68.2
78,78,1,207,1,207,1.55e-156,433
78,70,1,207,1,207,2.43e-151,420
78,62,1,207,1,207,2.51e-151,420
