Core.size Pan.size BIC LogLikelihood
2 components 0 14 815.887494664671 -403.985161337912
3 components 0 19 159.591813207899 -73.1982632799113
4 components 0 20 98.2384594734868 -39.88252908309
5 components 0 19 86.2409031955488 -31.2446936145058
6 components 0 19 91.5598982765735 -31.2651338254028
7 components 0 17 99.3100206550304 -32.501137685016
8 components 0 17 104.900227971501 -32.6571840136362
9 components 0 19 107.527947047951 -31.3319862222457
10 components 0 18 113.307346810612 -31.5826287739611
Sample 0 14 NA NA
