Core.size Pan.size BIC LogLikelihood
2 components 0 2 211.804931401534 -104.862744929927
3 components 0 77 8.23908618709578 -2.38667514214803
4 components 0 37 9.63989998568818 -2.39393486088428
5 components 0 5 11.2896673727233 -2.52567137384192
6 components 0 3 13.405938167415 -2.89065959062778
7 components 0 4 14.1728341490024 -2.58096040086154
8 components 0 2 17.6573926144624 -3.63009245303162
9 components 0 3 17.5732866070142 -2.89489226874755
10 components 0 3 19.8101424338049 -3.32017300158297
Sample 0 2 NA NA
