Core.size Pan.size BIC LogLikelihood
2 components 0 74 924.429666217983 -455.842090245917
3 components 0 105 252.748271069482 -115.752897429617
4 components 0 102 263.806020567814 -117.033276936734
5 components 0 220 171.398587136885 -66.5810649792203
6 components 0 126 208.442375770748 -80.8544640541023
7 components 0 147 208.537378816406 -76.6534703348823
8 components 0 110 250.163793644723 -93.2181825069915
9 components 0 113 253.7058484517 -90.7407146684305
10 components 0 174 219.52783081927 -69.4032106101662
Sample 0 70 NA NA
