Core.size Pan.size BIC LogLikelihood
2 components 0 85 185.680383582494 -86.5557096782072
3 components 0 98 182.184034653556 -80.6178804717119
4 components 0 101 198.779240828774 -84.7258288172946
5 components 0 92 202.807619265646 -82.5503632937039
6 components 0 97 209.576070629485 -81.744934233597
7 components 0 96 217.702578155626 -81.618533254641
8 components 0 95 224.430256061182 -80.7927174653928
9 components 0 92 235.559836899655 -82.1678531426027
10 components 0 83 258.04288495841 -89.2197224299538
Sample 0 66 NA NA
