Core.size Pan.size BIC LogLikelihood
2 components 0 148 1559.46014876355 -772.264973768143
3 components 0 216 517.422582017619 -246.269456652758
4 components 0 228 512.744608223049 -238.953736013053
5 components 0 393 285.550339592734 -120.379867955474
6 components 0 238 389.697850543085 -167.476889688229
7 components 0 326 322.218366667412 -128.760414007972
8 components 0 223 430.041474705 -177.695234284346
9 components 0 261 386.51735583482 -150.956441106835
10 components 0 261 399.201226655147 -152.321642774578
Sample 0 145 NA NA
