"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"42","82_nonstructural_protei..",1,1,"","82_nonstructural_protei...faa","82_nonstructural_protei...fna","105154",1.75438596491228
"43","90_ORF8",1,1,"","90_ORF8.faa","90_ORF8.fna","313629",1.75438596491228
"44","98_hypothetical_protein",2,2,"","98_hypothetical_protein.faa","98_hypothetical_protein.fna","90963_1986029",3.50877192982456
"45","99_hypothetical_protein",2,2,"","99_hypothetical_protein.faa","99_hypothetical_protein.fna","90963_1986029",3.50877192982456
"46","100_nonstructural_protei..",1,1,"","100_nonstructural_protei...faa","100_nonstructural_protei...fna","90963",1.75438596491228
"47","109_hypothetical_protein",1,1,"","109_hypothetical_protein.faa","109_hypothetical_protein.fna","2003327",1.75438596491228
"48","110_minor_capsid_protein",3,1,"","110_minor_capsid_protein.faa","110_minor_capsid_protein.fna","2003327_2003327_2003327",1.75438596491228
"49","113_hypothetical_protein",1,1,"","113_hypothetical_protein.faa","113_hypothetical_protein.fna","2003327",1.75438596491228
"50","115_nonstructural_protei..",1,1,"","115_nonstructural_protei...faa","115_nonstructural_protei...fna","2003327",1.75438596491228
"51","118_nonstructural_protei..",2,1,"","118_nonstructural_protei...faa","118_nonstructural_protei...fna","2003327_2003327",1.75438596491228
"52","120_hypothetical_protein",1,1,"","120_hypothetical_protein.faa","120_hypothetical_protein.fna","1609634",1.75438596491228
"53","121_putative_replication..",23,17,"PF05840_","121_putative_replication...faa","121_putative_replication...fna","1609634_489829_489829_489828_10843_10843_511969_511969_338101_338102_338108_338108_338107_338106_338110_338103_10845_10845_338105_10849_2507234_10847_10847",29.8245614035088
"54","122_hypothetical_protein",1,1,"","122_hypothetical_protein.faa","122_hypothetical_protein.fna","1609634",1.75438596491228
"55","123_putative_minor_capsi..",17,17,"PF02925_","123_putative_minor_capsi...faa","123_putative_minor_capsi...fna","1609634_489829_489828_10843_511969_338101_338102_338108_338107_338106_338110_338103_10845_338105_10849_2507234_10847",29.8245614035088
