"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"113","410_p6",1,1,"","410_p6.faa","410_p6.fna","913970",1.75438596491228
"114","411_p7",1,1,"","411_p7.faa","411_p7.fna","913970",1.75438596491228
"115","412_p8",1,1,"","412_p8.faa","412_p8.fna","913970",1.75438596491228
"116","413_p9",1,1,"","413_p9.faa","413_p9.fna","913970",1.75438596491228
"117","415_hypothetical_protein",1,1,"","415_hypothetical_protein.faa","415_hypothetical_protein.fna","1655644",1.75438596491228
"118","416_hypothetical_protein",1,1,"","416_hypothetical_protein.faa","416_hypothetical_protein.fna","1655644",1.75438596491228
"119","417_hypothetical_protein",1,1,"","417_hypothetical_protein.faa","417_hypothetical_protein.fna","1655644",1.75438596491228
"120","418_DNA_pilot_protein_VP..",1,1,"","418_DNA_pilot_protein_VP...faa","418_DNA_pilot_protein_VP...fna","1655644",1.75438596491228
"121","421_hypothetical_protein",1,1,"","421_hypothetical_protein.faa","421_hypothetical_protein.fna","1655645",1.75438596491228
"122","422_DNA_pilot_protein_VP..",1,1,"","422_DNA_pilot_protein_VP...faa","422_DNA_pilot_protein_VP...fna","1655645",1.75438596491228
"123","425_hypothetical_protein",1,1,"","425_hypothetical_protein.faa","425_hypothetical_protein.fna","10855",1.75438596491228
"124","426_hypothetical_protein",1,1,"","426_hypothetical_protein.faa","426_hypothetical_protein.fna","10855",1.75438596491228
"125","427_hypothetical_protein",1,1,"","427_hypothetical_protein.faa","427_hypothetical_protein.fna","10855",1.75438596491228
"126","428_hypothetical_protein",1,1,"","428_hypothetical_protein.faa","428_hypothetical_protein.fna","10855",1.75438596491228
"127","429_hypothetical_protein",1,1,"","429_hypothetical_protein.faa","429_hypothetical_protein.fna","10855",1.75438596491228
"128","431_minor_capsid_protein",1,1,"","431_minor_capsid_protein.faa","431_minor_capsid_protein.fna","10855",1.75438596491228
"129","432_hypothetical_protein",1,1,"","432_hypothetical_protein.faa","432_hypothetical_protein.fna","10855",1.75438596491228
