Core.size Pan.size BIC LogLikelihood
2 components 0 58 973.655291020263 -480.736980994312
3 components 0 70 323.181785035274 -151.439784991271
4 components 0 70 331.509486814816 -151.543192870496
5 components 0 102 258.544908625014 -111.000460765048
6 components 0 88 276.035909963556 -115.685518423773
7 components 0 111 264.672596745647 -105.943418804272
8 components 0 85 286.088381012985 -112.590867927394
9 components 0 86 296.796100764783 -113.884284792747
10 components 0 102 290.203468533623 -106.52752566662
Sample 0 58 NA NA
