Core.size Pan.size BIC LogLikelihood
2 components 0 73 658.476794731482 -322.953915252701
3 components 0 119 176.693149579199 -77.8724379345333
4 components 0 119 185.078660673476 -77.8755387396457
5 components 0 368 146.776104430328 -54.5346058760451
6 components 0 94 234.672230194766 -94.2930140162378
7 components 0 151 200.189315298887 -72.8619018262719
8 components 0 95 248.791841763995 -92.9735103167994
9 components 0 107 237.519972598724 -83.1479209921374
10 components 0 100 256.807608970679 -88.6020844360887
Sample 0 66 NA NA
