source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Geminiviridae/cluster_1_homologues_19062021_0435_intersection	6_AC1.faa	7_AC4.faa	12_AC4.faa	30_AV2.faa	56_AR1.faa	57_AL3.faa	58_AL2.faa	59_BR1.faa	60_BL1.faa	64_orf6.faa	66_orf7.faa	276_REn.faa	323_1R2b.faa	325_AL5.faa	378_AL4.faa	585_AC4_5_2.faa	752_AV2.faa
Sida-micrantha-mosaic-virus_taxid_228897.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Sida-mosaic-Alagoas-virus_taxid_1046571.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Sida-mosaic-Bolivia-virus-1_taxid_932069.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Sida-mosaic-Bolivia-virus-2_taxid_932070.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Sida-mosaic-Sinaloa-virus_taxid_367850.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Sida-yellow-mosaic-Yucatan-virus_taxid_408719.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Sida-yellow-mottle-virus_taxid_1093958.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Sida-yellow-vein-virus_taxid_223321.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Solanum-mosaic-Bolivia-virus_taxid_932073.gbk	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Soybean-chlorotic-blotch-virus_taxid_761702.gbk	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0
Soybean-chlorotic-spot-virus_taxid_1221206.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Squash-leaf-curl-virus_taxid_10829.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Squash-mild-leaf-curl-virus_taxid_223324.gbk	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
