Core.size Pan.size BIC LogLikelihood
2 components 2 17 1670.7457523422 -831.123056155016
3 components 2 17 230.592155269263 -108.213044274491
4 components 0 17 134.425922129407 -57.2967143605066
5 components 0 17 140.09237078961 -57.296725346552
6 components 1 17 145.867930462596 -57.3512918389886
7 components 0 17 151.427405268937 -57.2978158981029
8 components 0 26 125.138039183158 -41.3199195111576
9 components 1 26 130.652659164299 -41.2440161576718
10 components 1 25 136.667266965992 -41.418106714462
Sample 2 17 NA NA
