Core.size Pan.size BIC LogLikelihood
2 components 10 10 6.90775527898306 -4.61852778244076e-13
3 components 10 10 11.5129263381734 -4.36601559999698e-07
4 components 10 10 16.1181364431226 -2.03960821605415e-05
5 components 9 10 20.7232667275009 -4.45277268312711e-07
6 components 10 10 25.3286283106186 -9.61438420449705e-05
7 components 10 10 29.9337476788551 -7.07349662673711e-05
8 components 9 10 34.5391480224137 -0.000185813751509372
9 components 8 10 39.1440016514981 -2.75352996815017e-05
10 components 10 10 43.7690553586276 -0.0099692958703573
Sample 10 10 NA NA
