1,1,3,3
3,3,1,1
1,1,5,5
5,5,1,1
1,1,7,7
7,7,1,1
1,1,9,9
9,9,1,1
1,1,11,11
11,11,1,1
1,1,13,13
13,13,1,1
1,1,17,17
17,17,1,1
1,1,20,20
20,20,1,1
1,1,23,23
23,23,1,1
1,1,25,25
25,25,1,1
1,1,27,27
27,27,1,1
1,1,29,29
29,29,1,1
1,1,31,31
31,31,1,1
1,1,36,36
36,36,1,1
1,1,38,38
38,38,1,1
1,1,40,40
40,40,1,1
1,1,41,41
41,41,1,1
1,1,50,50
50,50,1,1
1,1,51,51
51,51,1,1
1,1,53,53
53,53,1,1
1,1,55,55
55,55,1,1
1,1,57,57
57,57,1,1
1,1,59,59
59,59,1,1
1,1,61,61
61,61,1,1
1,1,63,63
63,63,1,1
1,1,65,65
65,65,1,1
1,1,67,67
67,67,1,1
1,1,69,69
69,69,1,1
1,1,72,72
72,72,1,1
1,1,73,73
73,73,1,1
1,1,77,77
77,77,1,1
1,1,80,80
80,80,1,1
1,1,82,82
82,82,1,1
1,1,84,84
84,84,1,1
1,1,86,86
86,86,1,1
1,1,88,88
88,88,1,1
1,1,90,90
90,90,1,1
1,1,92,92
92,92,1,1
1,1,94,94
94,94,1,1
1,1,96,96
96,96,1,1
1,1,98,98
98,98,1,1
1,1,100,100
100,100,1,1
1,1,102,102
102,102,1,1
1,1,104,104
104,104,1,1
1,1,106,106
106,106,1,1
1,1,108,108
108,108,1,1
1,1,111,111
111,111,1,1
2,2,4,4
4,4,2,2
2,2,6,6
6,6,2,2
2,2,8,8
8,8,2,2
2,2,10,10
10,10,2,2
2,2,12,12
12,12,2,2
2,2,14,14
14,14,2,2
2,2,15,15
15,15,2,2
2,2,18,18
18,18,2,2
2,2,21,21
21,21,2,2
2,2,24,24
24,24,2,2
2,2,26,26
26,26,2,2
2,2,28,28
28,28,2,2
2,2,30,30
30,30,2,2
2,2,35,35
35,35,2,2
2,2,37,37
37,37,2,2
2,2,39,39
39,39,2,2
2,2,48,48
48,48,2,2
2,2,49,49
49,49,2,2
2,2,52,52
52,52,2,2
2,2,54,54
54,54,2,2
2,2,56,56
56,56,2,2
2,2,58,58
58,58,2,2
2,2,60,60
60,60,2,2
2,2,62,62
62,62,2,2
2,2,64,64
64,64,2,2
2,2,66,66
66,66,2,2
2,2,68,68
68,68,2,2
2,2,70,70
70,70,2,2
2,2,71,71
71,71,2,2
2,2,74,74
