1,1,13,13
13,13,1,1
1,1,20,20
20,20,1,1
1,1,22,22
22,22,1,1
1,1,28,28
28,28,1,1
1,1,36,36
36,36,1,1
1,1,48,48
48,48,1,1
1,1,50,50
50,50,1,1
1,1,59,59
59,59,1,1
1,1,61,61
61,61,1,1
1,1,69,69
69,69,1,1
1,1,81,81
81,81,1,1
1,1,83,83
83,83,1,1
1,1,90,90
90,90,1,1
1,1,102,102
102,102,1,1
1,1,104,104
104,104,1,1
1,1,116,116
116,116,1,1
1,1,118,118
118,118,1,1
1,1,124,124
124,124,1,1
1,1,131,131
131,131,1,1
1,1,142,142
142,142,1,1
1,1,148,148
148,148,1,1
1,1,155,155
155,155,1,1
1,1,162,162
162,162,1,1
1,1,164,164
164,164,1,1
1,1,174,174
174,174,1,1
1,1,182,182
182,182,1,1
1,1,184,184
184,184,1,1
1,1,191,191
191,191,1,1
1,1,198,198
198,198,1,1
1,1,210,210
210,210,1,1
1,1,218,218
218,218,1,1
1,1,220,220
220,220,1,1
1,1,232,232
232,232,1,1
1,1,240,240
240,240,1,1
1,1,242,242
242,242,1,1
1,1,249,249
249,249,1,1
1,1,261,261
261,261,1,1
1,1,263,263
263,263,1,1
1,1,271,271
271,271,1,1
1,1,283,283
283,283,1,1
1,1,290,290
290,290,1,1
1,1,296,296
296,296,1,1
1,1,303,303
303,303,1,1
1,1,305,305
305,305,1,1
1,1,311,311
311,311,1,1
1,1,320,320
320,320,1,1
1,1,330,330
330,330,1,1
1,1,341,341
341,341,1,1
1,1,343,343
343,343,1,1
1,1,350,350
350,350,1,1
1,1,362,362
362,362,1,1
1,1,364,364
364,364,1,1
1,1,375,375
375,375,1,1
1,1,382,382
382,382,1,1
1,1,384,384
384,384,1,1
1,1,396,396
396,396,1,1
1,1,398,398
398,398,1,1
1,1,404,404
404,404,1,1
1,1,416,416
416,416,1,1
1,1,422,422
422,422,1,1
1,1,424,424
424,424,1,1
1,1,435,435
435,435,1,1
1,1,444,444
444,444,1,1
1,1,452,452
452,452,1,1
1,1,459,459
459,459,1,1
1,1,466,466
466,466,1,1
1,1,473,473
473,473,1,1
1,1,478,478
478,478,1,1
1,1,485,485
485,485,1,1
1,1,492,492
492,492,1,1
1,1,494,494
494,494,1,1
1,1,506,506
506,506,1,1
1,1,508,508
508,508,1,1
1,1,515,515
515,515,1,1
1,1,521,521
521,521,1,1
1,1,528,528
528,528,1,1
1,1,540,540
540,540,1,1
1,1,547,547
547,547,1,1
1,1,549,549
549,549,1,1
1,1,560,560
560,560,1,1
1,1,562,562
562,562,1,1
1,1,574,574
574,574,1,1
1,1,576,576
576,576,1,1
1,1,583,583
583,583,1,1
1,1,596,596
596,596,1,1
1,1,598,598
598,598,1,1
1,1,604,604
604,604,1,1
1,1,610,610
610,610,1,1
1,1,616,616
616,616,1,1
1,1,628,628
628,628,1,1
1,1,634,634
634,634,1,1
1,1,641,641
641,641,1,1
1,1,648,648
648,648,1,1
1,1,650,650
650,650,1,1
1,1,657,657
657,657,1,1
1,1,669,669
669,669,1,1
1,1,671,671
671,671,1,1
1,1,676,676
676,676,1,1
1,1,682,682
682,682,1,1
1,1,693,693
693,693,1,1
1,1,700,700
700,700,1,1
1,1,702,702
702,702,1,1
1,1,714,714
714,714,1,1
1,1,716,716
716,716,1,1
1,1,728,728
728,728,1,1
1,1,734,734
734,734,1,1
1,1,736,736
736,736,1,1
1,1,743,743
743,743,1,1
1,1,758,758
758,758,1,1
1,1,765,765
