1,1,1,162,1,162,1.06e-119,336
2,2,1,240,1,240,3.14e-174,480
3,3,1,366,1,366,0.0,764
3,12,4,339,25,363,2.31e-31,124
3,15,2,338,3,344,5.25e-27,112
3,9,13,339,25,361,5.67e-27,112
3,18,39,340,57,359,9.46e-27,112
4,4,1,423,1,423,0.0,886
4,16,16,417,29,431,1.41e-136,400
4,13,23,413,99,491,2.19e-134,398
4,6,32,413,152,533,2.28e-132,394
4,19,1,414,41,452,9.98e-130,384
5,5,1,208,1,208,6.39e-156,431
6,6,1,573,1,573,0.0,1200
6,19,113,567,34,484,2.39e-180,520
6,13,154,568,116,527,2.08e-168,491
6,16,153,545,46,439,6.14e-146,430
6,4,152,533,32,413,2.49e-141,417
7,7,1,196,1,196,1.20e-141,394
8,8,1,102,1,102,3.62e-67,199
9,9,1,392,1,392,0.0,816
9,12,17,388,21,390,6.65e-129,378
9,18,1,388,1,385,2.67e-111,333
9,15,2,379,3,363,1.67e-62,207
9,3,49,361,36,339,3.24e-27,113
10,10,1,328,1,328,0.0,671
10,11,5,281,17,287,2.91e-67,216
10,17,93,291,5,191,1.17e-23,99
10,14,22,226,80,265,9.14e-14,73.9
11,11,1,331,1,331,0.0,682
11,10,17,287,5,281,5.95e-64,207
11,17,101,289,1,184,2.25e-35,129
11,14,34,203,80,241,7.48e-20,92
12,12,1,390,1,390,0.0,806
12,9,27,390,27,388,6.07e-123,363
12,18,9,390,3,385,1.44e-103,313
12,15,5,384,4,366,4.74e-60,201
12,3,45,363,31,339,4.80e-28,115
13,13,1,531,1,531,0.0,1114
13,19,98,526,55,484,4.07e-176,507
13,6,116,527,154,568,3.87e-168,490
13,16,91,506,26,441,5.43e-150,439
13,4,99,491,23,413,6.94e-143,420
14,14,1,415,1,415,0.0,851
14,11,80,241,34,203,1.47e-19,91.3
14,10,80,265,22,226,1.17e-13,73.9
14,17,150,288,22,157,2.92e-06,50.4
15,15,1,372,1,372,0.0,783
15,18,32,365,38,378,1.20e-59,199
15,9,22,363,28,379,1.20e-58,197
15,12,19,366,21,384,1.42e-58,197
15,3,49,344,38,338,2.14e-22,99.4
16,16,1,446,1,446,0.0,940
16,13,26,441,91,506,9.82e-142,418
16,19,5,429,25,453,1.69e-140,413
16,6,46,439,153,545,1.91e-137,408
16,4,29,431,16,417,1.48e-136,400
17,17,1,210,1,210,1.02e-153,426
17,11,1,184,101,289,4.21e-30,115
17,10,5,191,93,291,6.73e-22,93.6
17,14,22,131,150,265,2.62e-05,46.6
18,18,1,387,1,387,0.0,803
18,9,1,385,1,388,1.18e-105,318
18,12,17,385,20,390,6.75e-104,314
18,15,9,378,5,365,1.82e-63,209
18,3,57,359,39,340,1.58e-26,111
19,19,1,484,1,484,0.0,1017
19,6,77,484,158,567,1.05e-174,505
19,13,55,484,98,526,4.40e-170,491
19,16,25,453,5,429,2.16e-144,423
19,4,41,452,1,414,4.12e-132,391
