Core.size Pan.size BIC LogLikelihood
2 components 0 5 40.0645308814366 -17.6181085720672
3 components 0 5 29.8060211124982 -10.8794157751639
4 components 0 5 33.024578118546 -10.8792563657537
5 components 0 5 36.2463644568593 -10.8807116224762
6 components 0 8 39.049758983178 -10.6729709732014
7 components 0 5 42.6950757871808 -10.8861914627687
8 components 0 5 45.8569360864194 -10.857683699954
9 components 0 5 49.1141197313852 -10.8768376100028
10 components 0 5 52.5981172534053 -11.0093984585787
Sample 0 5 NA NA
