Core.size Pan.size BIC LogLikelihood
2 components 1 83 215.95731279074 -101.69417428233
3 components 1 97 190.902536499483 -84.9771313946755
4 components 1 400 196.97081006876 -83.8216134372875
5 components 1 117 206.656051104638 -84.4745792132003
6 components 1 158 213.922392266654 -83.9180950521815
7 components 1 145 222.381558011054 -83.9580231823554
8 components 0 165 230.754242998237 -83.9547109339203
9 components 0 176 238.986770744061 -83.8813200648058
10 components 0 119 248.373849638856 -84.3852047701772
Sample 1 66 NA NA
