1,1,1,410,1,410,0.0,850
1,30,1,410,1,410,0.0,846
1,197,1,406,1,407,4.31e-179,507
1,2,300,410,1,111,4.99e-77,236
1,31,300,410,1,111,4.99e-77,236
1,198,300,406,1,107,5.02e-41,143
2,2,1,111,1,111,2.57e-80,233
2,31,1,111,1,111,2.57e-80,233
2,30,1,111,300,410,1.22e-77,236
2,1,1,111,300,410,1.35e-77,236
2,198,1,107,1,107,1.48e-44,142
2,197,1,107,301,407,4.69e-41,142
3,3,1,87,1,87,3.20e-60,180
3,32,1,87,1,87,3.20e-60,180
3,199,1,87,1,88,7.53e-20,78.2
3,417,2,85,1,84,3.39e-06,43.5
3,428,2,85,1,84,4.99e-06,43.1
3,240,28,85,23,80,0.002,36.2
3,215,31,85,26,80,0.004,35.4
4,4,1,33,1,33,5.43e-17,67
4,33,1,33,1,33,5.43e-17,67
4,12,5,33,4,32,2.62e-06,40
5,5,1,32,1,32,3.62e-16,65.1
5,34,1,32,1,32,3.62e-16,65.1
6,6,1,73,1,73,2.13e-45,141
6,35,1,73,1,73,6.53e-45,140
6,14,1,73,1,74,1.82e-19,76.3
6,202,12,72,18,81,1.78e-04,38.5
6,28,30,72,41,83,2.56e-04,38.1
7,7,1,424,1,424,0.0,862
7,36,1,424,1,424,0.0,858
7,15,276,420,307,456,1.63e-33,133
7,15,1,81,1,77,3.88e-10,64.3
7,203,281,423,277,433,8.70e-08,56.6
7,203,23,85,137,198,2.24e-04,45.8
7,29,281,423,277,433,2.74e-06,52
7,29,23,79,137,193,0.002,43.1
8,8,1,112,1,112,3.02e-72,212
8,37,1,112,1,112,3.02e-72,212
8,16,1,112,1,112,3.08e-39,129
8,204,1,104,1,108,0.001,38.1
9,9,1,348,1,348,0.0,713
9,38,1,348,1,348,0.0,712
9,17,1,347,1,353,1.32e-170,480
9,21,1,348,1,364,2.09e-127,371
9,205,1,348,1,364,8.15e-126,367
9,392,2,347,3,361,2.20e-109,325
9,329,29,347,3,334,1.15e-94,287
9,86,1,257,1,252,3.34e-76,238
10,10,1,426,1,426,0.0,841
10,39,1,426,1,426,0.0,833
10,18,11,426,8,429,1.93e-152,441
10,22,9,426,13,428,6.35e-129,380
10,206,7,426,16,437,1.77e-125,372
10,330,8,423,52,442,1.17e-55,192
10,393,19,422,63,441,5.64e-54,189
10,54,42,423,44,407,7.71e-13,72.4
11,11,1,96,1,96,1.07e-67,199
12,12,1,32,1,32,1.91e-16,65.9
12,4,4,32,5,33,2.54e-06,40
12,33,4,32,5,33,2.54e-06,40
13,13,1,32,1,32,3.66e-16,65.1
14,14,1,74,1,74,7.82e-45,140
14,6,1,74,1,73,1.84e-19,76.3
14,35,1,74,1,73,9.53e-19,74.3
14,28,8,73,13,83,3.18e-09,50.4
14,202,10,73,16,81,5.63e-05,39.7
15,15,1,460,1,460,0.0,931
15,36,306,456,275,420,1.01e-34,136
15,36,1,77,1,81,8.87e-11,66.2
15,7,306,456,275,420,3.62e-34,135
15,7,1,77,1,81,8.41e-11,66.2
15,29,312,459,277,433,1.08e-07,56.6
15,203,312,459,277,433,2.63e-07,55.5
16,16,1,113,1,113,5.92e-74,216
16,8,1,112,1,112,7.46e-34,115
16,37,1,112,1,112,7.46e-34,115
16,204,1,106,1,110,1.09e-08,51.6
16,391,1,92,3,105,1.89e-05,43.1
16,328,1,109,3,122,4.83e-05,42
17,17,1,353,1,353,0.0,730
17,38,1,353,1,347,5.28e-171,481
17,9,1,353,1,347,1.34e-170,480
17,205,1,353,1,363,8.24e-139,400
17,21,1,353,1,363,2.68e-138,399
17,392,2,353,3,361,2.58e-100,302
17,329,27,353,1,334,6.32e-88,270
17,86,1,230,1,230,8.84e-76,237
