source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Geminiviridae/cluster_2_homologues_19062021_0435_intersection	1_AV2.faa	2_AV1.faa	3_AC3.faa	4_AC2.faa	6_AC4.faa	55_V4.faa	56_V2.faa	57_V3.faa	61_C3.faa	81_AC5.faa	172_AC1.faa	214_C5.faa	234_AC5.faa	354_AV3_protein.faa	404_C2.faa	431_movement_protein.faa	432_capsid_protein.faa	564_V1.faa	565_V2.faa	566_rep.faa	753_CP.faa	795_c1.faa	863_truncated_V2.faa	880_AC4.faa	1114_V1.faa
Bhendi-yellow-vein-Bhubhaneswar-virus_taxid_591160.gbk	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bhendi-yellow-vein-Delhi-virus-2004-New-Delhi_taxid_587620.gbk	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bhendi-yellow-vein-Haryana-virus-2003-Karnal_taxid_658650.gbk	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bhendi-yellow-vein-India-virus-India-Dharwad-OYDWR2-2006_taxid_908028.gbk	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bhendi-yellow-vein-mosaic-virus_taxid_120168.gbk	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Catharanthus-yellow-mosaic-virus_taxid_1076345.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Centrosema-yellow-spot-virus_taxid_1129032.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chilli-leaf-curl-Ahmedabad-virus-India-India-Ahmedabad-2014_taxid_1678003.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chilli-leaf-curl-India-virus_taxid_577124.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chilli-leaf-curl-Kanpur-virus-India-Kanpur-2008_taxid_1000665.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chilli-leaf-curl-Vellanad-virus-India-Vellanad-2008_taxid_1000664.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chilli-leaf-curl-virus_taxid_172278.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Clerodendron-yellow-mosaic-virus_taxid_326811.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Clerodendrum-golden-mosaic-Jiangsu-virus_taxid_649509.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Corchorus-yellow-vein-mosaic-virus_taxid_1297645.gbk	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cotton-leaf-curl-Alabad-virus_taxid_222456.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cotton-leaf-curl-Bangalore-virus_taxid_307110.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cotton-leaf-curl-Burewala-virus_taxid_620894.gbk	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cotton-leaf-curl-Gezira-virus-Cotton_taxid_222460.gbk	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cotton-leaf-curl-Gezira-virus_taxid_222459.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cotton-leaf-curl-Kokhran-virus_taxid_222464.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cotton-leaf-curl-Shahdadpur-virus_taxid_674996.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Cotton-leaf-curl-virus_taxid_53010.gbk	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Cowpea-golden-mosaic-virus-Nigeria_taxid_223260.gbk	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Crassocephalum-yellow-vein-virus--Jinghong_taxid_417288.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Croton-yellow-vein-mosaic-virus_taxid_207697.gbk	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Croton-yellow-vein-virus_taxid_671095.gbk	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
