Core.size Pan.size BIC LogLikelihood
2 components 0 79 1282.01904780497 -634.455352123787
3 components 0 89 436.735761722288 -207.444261229977
4 components 0 122 349.155245330066 -159.284555181399
5 components 0 122 357.46883955922 -159.071904443508
6 components 0 111 371.624971886921 -161.780522754892
7 components 0 117 361.215759705689 -152.206468811809
8 components 0 113 373.784146882443 -154.121214547719
9 components 0 99 415.075388915964 -170.397387712012
10 components 0 111 392.52309755042 -154.751794176773
Sample 0 79 NA NA
