Core.size Pan.size BIC LogLikelihood
2 components 1 10 190.860783982984 -91.9765143520011
3 components 0 12261 24.8975645667737 -6.69231955090175
4 components 0 447 29.6405497621138 -6.76122705557773
5 components 0 32 37.0631813607528 -8.16995776190317
6 components 0 60 39.9922104977289 -7.33188723739721
7 components 0 47 45.0059719906835 -7.53618289088047
8 components 0 23 52.6634985075154 -9.06236105630234
9 components 0 33 55.2606576695409 -8.05835554432107
10 components 0 43 59.0042631009683 -7.62757316704073
Sample 1 10 NA NA
