Core.size Pan.size BIC LogLikelihood
2 components 1 56 16133.8231931002 -8060.87356901401
3 components 0 57 1758.6887305753 -869.280986060813
4 components 0 57 713.489774875252 -342.656156520053
5 components 0 57 631.442047653924 -297.606941218654
6 components 0 57 613.897105787057 -284.809118594485
7 components 0 57 548.879015342741 -248.274721681592
8 components 0 57 557.253108076679 -248.436416357826
9 components 0 57 573.781877323781 -252.675449290642
10 components 0 61 418.450403365783 -170.984360620908
Sample 0 56 NA NA
